regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM da Grande Vitória (ES),Renda alta,Alimentação e bebidas,0.60147
RM da Grande Vitória (ES),Renda alta,Artigos de residência,0.06612
RM da Grande Vitória (ES),Renda alta,Comunicação,0.08527999999999998
RM da Grande Vitória (ES),Renda alta,Despesas pessoais,0.51136
RM da Grande Vitória (ES),Renda alta,Educação,0.59364
RM da Grande Vitória (ES),Renda alta,Habitação,0.40003
RM da Grande Vitória (ES),Renda alta,Saúde e cuidados pessoais,0.43215000000000003
RM da Grande Vitória (ES),Renda alta,Transportes,0.3768
RM da Grande Vitória (ES),Renda alta,Vestuário,0.11972999999999999
RM da Grande Vitória (ES),Renda baixa,Alimentação e bebidas,1.1442599999999998
RM da Grande Vitória (ES),Renda baixa,Artigos de residência,0.09575999999999998
RM da Grande Vitória (ES),Renda baixa,Comunicação,0.12480000000000001
RM da Grande Vitória (ES),Renda baixa,Despesas pessoais,0.21760000000000002
RM da Grande Vitória (ES),Renda baixa,Educação,0.22116
RM da Grande Vitória (ES),Renda baixa,Habitação,0.6899599999999999
RM da Grande Vitória (ES),Renda baixa,Saúde e cuidados pessoais,0.46230000000000004
RM da Grande Vitória (ES),Renda baixa,Transportes,0.2669
RM da Grande Vitória (ES),Renda baixa,Vestuário,0.15043
RM da Grande Vitória (ES),Renda muito baixa,Alimentação e bebidas,1.26162
RM da Grande Vitória (ES),Renda muito baixa,Artigos de residência,0.11627999999999998
RM da Grande Vitória (ES),Renda muito baixa,Comunicação,0.12272000000000002
RM da Grande Vitória (ES),Renda muito baixa,Despesas pessoais,0.1904
RM da Grande Vitória (ES),Renda muito baixa,Educação,0.23861999999999997
RM da Grande Vitória (ES),Renda muito baixa,Habitação,0.7450100000000001
RM da Grande Vitória (ES),Renda muito baixa,Saúde e cuidados pessoais,0.45225000000000004
RM da Grande Vitória (ES),Renda muito baixa,Transportes,0.20567
RM da Grande Vitória (ES),Renda muito baixa,Vestuário,0.15657
RM da Grande Vitória (ES),Renda média,Alimentação e bebidas,0.8948699999999999
RM da Grande Vitória (ES),Renda média,Artigos de residência,0.07523999999999999
RM da Grande Vitória (ES),Renda média,Comunicação,0.12272000000000002
RM da Grande Vitória (ES),Renda média,Despesas pessoais,0.26384
RM da Grande Vitória (ES),Renda média,Educação,0.38994
RM da Grande Vitória (ES),Renda média,Habitação,0.50646
RM da Grande Vitória (ES),Renda média,Saúde e cuidados pessoais,0.46565000000000006
RM da Grande Vitória (ES),Renda média,Transportes,0.37366
RM da Grande Vitória (ES),Renda média,Vestuário,0.14121999999999998
RM da Grande Vitória (ES),Renda média alta,Alimentação e bebidas,0.75795
RM da Grande Vitória (ES),Renda média alta,Artigos de residência,0.07067999999999999
RM da Grande Vitória (ES),Renda média alta,Comunicação,0.11856000000000001
RM da Grande Vitória (ES),Renda média alta,Despesas pessoais,0.33183999999999997
RM da Grande Vitória (ES),Renda média alta,Educação,0.40740000000000004
RM da Grande Vitória (ES),Renda média alta,Habitação,0.50279
RM da Grande Vitória (ES),Renda média alta,Saúde e cuidados pessoais,0.47235
RM da Grande Vitória (ES),Renda média alta,Transportes,0.38622000000000006
RM da Grande Vitória (ES),Renda média alta,Vestuário,0.12279999999999999
RM da Grande Vitória (ES),Renda média baixa,Alimentação e bebidas,1.06602
RM da Grande Vitória (ES),Renda média baixa,Artigos de residência,0.09119999999999999
RM da Grande Vitória (ES),Renda média baixa,Comunicação,0.13936
RM da Grande Vitória (ES),Renda média baixa,Despesas pessoais,0.21760000000000002
RM da Grande Vitória (ES),Renda média baixa,Educação,0.26771999999999996
RM da Grande Vitória (ES),Renda média baixa,Habitação,0.6128899999999999
RM da Grande Vitória (ES),Renda média baixa,Saúde e cuidados pessoais,0.43550000000000005
RM da Grande Vitória (ES),Renda média baixa,Transportes,0.31871000000000005
RM da Grande Vitória (ES),Renda média baixa,Vestuário,0.1535
RM de Belo Horizonte (MG),Renda alta,Alimentação e bebidas,0.38622000000000006
RM de Belo Horizonte (MG),Renda alta,Artigos de residência,0.052779999999999994
RM de Belo Horizonte (MG),Renda alta,Comunicação,0.07257
RM de Belo Horizonte (MG),Renda alta,Despesas pessoais,0.6373200000000001
RM de Belo Horizonte (MG),Renda alta,Educação,0.48041999999999996
RM de Belo Horizonte (MG),Renda alta,Habitação,0.6910599999999999
RM de Belo Horizonte (MG),Renda alta,Saúde e cuidados pessoais,0.45666000000000007
RM de Belo Horizonte (MG),Renda alta,Transportes,0.47519999999999996
RM de Belo Horizonte (MG),Renda alta,Vestuário,0.12129
RM de Belo Horizonte (MG),Renda baixa,Alimentação e bebidas,0.73476
